Reference,Account Number,Description,Start Balance,Mutation,End Balance
132843,NL56RABO0149876948,Flowers for Erik Bakker,90.68,-45.33,45.35
112806,NL32RABO0195610843,Subscription from Erik de Vries,80.48,+25.19,105.67
107934,NL56RABO0149876948,Clothes for Jan Dekker,68.71,-15.75,52.96
191708,NL74ABNA0248990274,Tickets for Erik de Vries,102.5,-20.49,82.01
112806,NL46ABNA0625805417,Flowers for Willem Theuﬂ,14.81,-11.99,2.82
112806,NL32RABO0195610843,Subscription from Peter Theuﬂ,49.25,+23.07,72.32
191476,NL69ABNA0433647324,Clothes for Vincent de Vries,74.23,-48.76,25.47
139812,NL56RABO0149876948,Tickets for Peter King,73.44,-30.11,43.33
192851,NL90ABNA0585647886,Tickets for Richard de Vries,10.2,-28.74,-18.54
187948,NL56RABO0149876948,Clothes for Rik Theuﬂ,83.04,-2.51,80.53
